"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1989-09",1989,9,0.439479789033091,0.0756894482710454,0.771704595513879,0.1300859497106
"1989-10",1989,10,0.300097709585078,0.175656932934899,0.526804441142932,0.0741795684856918
"1989-11",1989,11,0.20844576322835,0.0802365842528718,0.456462981097517,0.0863039003933
"1989-12",1989,12,0.050241451410516,0,0.185369840604897,0.0431534678849315
"1990-01",1990,1,0.0925815260141035,0.0265944729991458,0.220997790887621,0.0373033651912444
"1990-02",1990,2,0.092816128885218,0.00553577434778569,0.240604751404566,0.0470745912661899
"1990-03",1990,3,0.00257777797832378,0,0.0751852852156993,0.0108159523834007
"1990-04",1990,4,0.0122497336140856,0,0.111193696598336,0.0243501900179597
"1990-05",1990,5,0.0573890461590592,0,0.193567837414239,0.0591851577925577
"1990-06",1990,6,0.235813955965885,0.0211305967794794,0.470441544833474,0.113026143316723
"1990-07",1990,7,0.234571870290916,0,0.496422449183008,0.114751856766876
"1990-08",1990,8,0.372627099117945,0.111924744070488,0.685367828227771,0.124127510812577
"1990-09",1990,9,0.584470433503591,0.180371444573023,0.94171885442311,0.163439527526253
"1990-10",1990,10,0.352629506024073,0.206772142984172,0.643307163650256,0.103698272716886
"1990-11",1990,11,0.15620079115696,0.0624436433375847,0.319885048706746,0.0474928645063607
"1990-12",1990,12,0.0957765517664721,0.0219071011303195,0.205954343905612,0.0374452456114791
"1991-01",1991,1,0.0467241309835714,0,0.119542185117565,0.0205922377826142
"1991-02",1991,2,0,0,0,0
"1991-03",1991,3,0.140539498890272,0.0355675076970473,0.249777553198365,0.0423898199844315
"1991-04",1991,4,0.0400290130588138,0,0.216914119450181,0.0567379408260479
"1991-05",1991,5,0.201043222347052,0,0.511124981615657,0.126584423284104
"1991-06",1991,6,0.191569637013666,0,0.473492874219319,0.135017156478524
"1991-07",1991,7,0.470999924282799,0.0642069836869308,0.84776799568478,0.173778374541903
"1991-08",1991,8,0.343513559098664,0.0588916455966929,0.653651050914644,0.133204204614714
"1991-09",1991,9,0.480923820899825,0.113376136282183,0.809283684700161,0.149406116116219
"1991-10",1991,10,0.289246690768538,0.170925898394462,0.432271024284016,0.0586278191427588
"1991-11",1991,11,0.12194635285948,0.00830065402402529,0.317857065584397,0.0654528195537073
"1991-12",1991,12,0.0707317231302474,0,0.381887329131201,0.0748263464630445
"1992-01",1992,1,0.0499383383120426,0,0.279875486950208,0.0513309158450359
"1992-02",1992,2,0.0464526905799085,0,0.141050020497812,0.0252449049951397
"1992-03",1992,3,0.00265828089104642,0,0.0745260411120066,0.0104558940885049
"1992-04",1992,4,0.123753798326742,0,0.304292684745907,0.0660826496649085
"1992-05",1992,5,0.230356564297736,0,0.561952043640926,0.131740880932195
"1992-06",1992,6,0.125490737796182,0,0.520080287937874,0.147503143189036
"1992-07",1992,7,0.514240431050243,0.136380822358454,1.06741284780012,0.228510048145832
"1992-08",1992,8,0.486006826081653,0.0930820146955404,0.769130076898553,0.120627860048449
"1992-09",1992,9,0.482373771708731,0.251796189505178,0.792822985587609,0.132816502721673
