"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1975-04-01,1975,4,35.6087267896101,15.2744399383664,162.674118764699,20.212478605137
1975-05-01,1975,5,52.8318722236151,32.7517457772046,203.327394090593,19.6113978629587
1975-06-01,1975,6,82.0262421858054,55.5108929984272,228.269062936306,18.2883248259876
1975-07-01,1975,7,53.7065000408139,22.6771382149309,149.753645062447,21.1797869593576
1975-08-01,1975,8,95.8361944891681,39.6802299655974,286.541381850839,26.8689609646843
1975-09-01,1975,9,31.8813335774171,7.78829678893089,128.286983817816,17.0679420633037
1975-10-01,1975,10,109.884360604983,57.9185457900167,516.082633286715,66.8085193452921
1975-11-01,1975,11,204.412534800558,107.56895178929,794.521328061819,127.164996077435
1975-12-01,1975,12,108.531319627004,48.3681128825992,611.193234100938,86.08121152055
1976-01-01,1976,1,117.905150290117,44.4500439334661,564.775191247463,79.6735177773461
1976-02-01,1976,2,67.0148978753614,26.9341559614986,412.143305875361,55.0947573986536
1976-03-01,1976,3,75.7699320258729,31.3675762154162,423.751270398498,54.5378146845995
1976-04-01,1976,4,41.0729004067529,14.2038124613464,189.826805144548,24.0723888283404
1976-05-01,1976,5,88.1038202216208,34.9391570780426,420.622000470757,48.0011528407569
1976-06-01,1976,6,109.297011522481,53.3663830719888,225.749714300036,27.0707143379227
1976-07-01,1976,7,91.30709877736,49.9832720961422,243.676954880357,21.5366346995036
1976-08-01,1976,8,99.8091838937316,66.8335712980479,280.646414496005,25.0304873030266
1976-09-01,1976,9,58.6554324633665,25.4016648977995,269.212005659938,33.8560603790166
1976-10-01,1976,10,107.339308842752,49.4064150843769,521.43525891006,74.2779868939065
1976-11-01,1976,11,63.7898176784176,22.5630705244839,383.36131721735,57.7369827110236
1976-12-01,1976,12,120.263642456585,58.510985923931,609.37499627471,87.5898410547176
1977-01-01,1977,1,53.4255702545807,20.4680953174829,218.322673812509,32.077468912371
1977-02-01,1977,2,72.5265142120151,17.5140257924795,442.746959626675,61.0419158526612
1977-03-01,1977,3,81.367185300746,40.7528525684029,419.362531974912,53.318740675122
1977-04-01,1977,4,47.1373085773811,19.0762686543167,272.487346082926,34.1976351233647
1977-05-01,1977,5,64.3162122501979,26.2799430638552,146.851012483239,21.8613549962973
1977-06-01,1977,6,85.4850369948068,42.5446685403585,301.886787638068,27.9700586039391
1977-07-01,1977,7,122.744646416429,81.9589798338711,281.274907290936,24.2498730872539
1977-08-01,1977,8,48.9452996900162,28.2432937528938,97.9854667093605,12.3088856014226
1977-09-01,1977,9,70.135382876407,42.3658546060324,186.463510617614,18.1016395052763
1977-10-01,1977,10,107.13309376254,24.6914462186396,621.140217408538,88.119197674111
1977-11-01,1977,11,106.283978686027,38.8857023790479,621.371883898973,88.9279402416745
1977-12-01,1977,12,62.3380978005976,35.9347807243466,324.443605728447,40.805305436042
1978-01-01,1978,1,32.7395418030947,17.375412164256,166.320431046188,19.0905624179801
1978-02-01,1978,2,32.4750834515232,6.30912440828979,213.534541428089,30.622845365534
